delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,3,2,38,8,237.43343549995916,,237.4186812999542,237.43343549995916,238.43361089995597,238.43361089995597,238.43361089995597,239.25238119997084,space,0.8138976999907754,None,239.25325429998338,239.96651576663524,240.27661139995325,240.2607854999951,240.2608289999771,240.27661139995325,240.27661139995325,240.27661139995325,244.81622739997692,456,1,[4.553647499997169],[4.553655199997593],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,3,3,39,7,244.83199959999183,,244.8168892999529,244.83199959999183,245.83183389995247,245.83183389995247,245.83183389995247,247.23371979995864,space,1.3889671000069939,None,247.23441709997132,247.64817596663877,247.95368829998188,247.94086749997223,247.94091109995497,247.95368829998188,247.95368829998188,247.95368829998188,252.21528519998537,956,1,[4.27236909995554],[4.272379099973477],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,400,unexp,3,4,40,2,252.23028550000163,,252.21608799998648,252.23028550000163,253.2305067999987,253.2305067999987,253.2305067999987,253.84852800000226,space,0.6109248999855481,None,253.8491971999756,254.5632502666597,254.8761469000019,254.86166559997946,254.86174249998294,254.8761469000019,254.8761469000019,254.8761469000019,258.19685829995433,956,1,[3.3327270000008866],[3.3327356000081636],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,3,5,41,6,258.212339199963,,258.1979051999515,258.212339199963,259.21247549995314,259.21247549995314,259.21247549995314,260.18183889996726,space,0.9545043000252917,None,260.182769899955,260.29567946662814,260.6051670999732,260.5910263999831,260.591073699994,260.6051670999732,260.6051670999732,260.6051670999732,263.16303549997974,956,1,[2.5697482000105083],[2.5697589999763295],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,3,6,42,3,263.1782021999825,,263.1640422999626,263.1782021999825,264.17814219999127,264.17814219999127,264.17814219999127,264.846247199981,space,0.6633127999957651,None,264.84697309997864,264.96083326667235,265.27586239995435,265.261268000002,265.26132299995515,265.27586239995435,265.27586239995435,265.27586239995435,269.779483899998,895,1,[4.515314100019168],[4.515331500035245],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,3,7,43,4,269.7932584999944,,269.78085789998295,269.7932584999944,270.7932351999916,270.7932351999916,270.7932351999916,271.2444440999534,space,0.43518390000099316,None,271.24511039996287,271.65945796663095,271.97489199996926,271.96149929997046,271.961556299997,271.97489199996926,271.97489199996926,271.97489199996926,275.57646720000776,895,1,[3.612739000003785],[3.612747200008016],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,400,unexp,3,8,44,0,275.5919210999855,,275.57706429995596,275.5919210999855,276.5920508999843,276.5920508999843,276.5920508999843,277.92857299995376,space,1.3195288999704644,None,277.9295081999735,278.04192536662254,278.35739590000594,278.34813139995094,278.3481509999838,278.35739590000594,278.35739590000594,278.35739590000594,281.05936179996934,596,1,[2.7096339999698102],[2.7096450999961235],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,3,9,45,11,281.0743322999915,,281.0603201999911,281.0743322999915,282.0738427999895,282.0738427999895,282.0738427999895,282.82628999999724,space,0.7488201999804005,None,282.826991799986,283.54055976664336,283.8557526000077,283.84128860000055,283.8413588999538,283.8557526000077,283.8557526000077,283.8557526000077,288.55771779996576,756,1,[4.713587299978826],[4.713598699949216],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,3,10,46,10,288.57259479997447,,288.5584392999881,288.57259479997447,289.57251509994967,289.57251509994967,289.57251509994967,290.19202679995215,space,0.6024527000263333,None,290.19296289997874,290.60591116664386,290.91538369999034,290.9012295999564,290.90129269997124,290.91538369999034,290.91538369999034,290.91538369999034,295.1404363999609,596 ,1,[4.236251399968751],[4.236266599968076],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,400,unexp,3,11,47,1,295.1547658999916,,295.1415768999723,295.1547658999916,296.15445559995715,296.15445559995715,296.15445559995715,296.8233692999929,space,0.6659773999708705,None,296.8241413999931,297.2379090666693,297.54909939999925,297.5345143000013,297.53456289996393,297.54909939999925,297.54909939999925,297.54909939999925,299.7890163999982,695,1,[2.2513838000013493],[2.2513981999945827],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
